Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Quals 39 - Shanghai Regional 2025,6394,3,0.68,0.00,0.00,0.00,1.94,2.32,1.18,0.97,0.00,1.18,0,0.00,0.00,11.27,Win
Quals 40 - Shanghai Regional 2025,6706,3,0.00,0.00,0.00,0.00,16.21,5.77,0.00,0.76,0.00,0.00,0,0.00,0.00,25.74,Win
Quals 40 - Shanghai Regional 2025,10541,3,0.00,0.00,0.00,0.00,13.90,4.94,0.00,0.65,0.00,0.00,0,0.00,0.00,22.49,Win
Quals 40 - Shanghai Regional 2025,9597,3,0.00,0.00,0.00,0.00,14.59,5.19,0.00,0.69,0.00,0.00,0,0.00,0.00,23.47,Win
Quals 40 - Shanghai Regional 2025,10526,3,2.28,0.00,0.00,0.00,8.13,5.26,4.96,0.69,0.00,0.00,2,-1.98,0.00,24.34,Loss
Quals 40 - Shanghai Regional 2025,5515,3,1.54,0.00,0.00,0.00,5.49,3.55,3.35,0.47,0.00,0.00,2,-1.34,0.00,18.06,Loss
Quals 40 - Shanghai Regional 2025,10000,3,3.08,0.00,0.00,0.00,10.98,7.10,6.69,0.94,0.00,0.00,0,-2.68,0.00,29.11,Loss
Quals 41 - Shanghai Regional 2025,10016,3,0.00,0.00,2.37,0.00,0.00,7.30,1.83,3.65,0.00,0.00,2,0.00,0.00,20.15,Loss
Quals 41 - Shanghai Regional 2025,4613,3,0.00,0.00,1.53,0.00,0.00,4.70,1.17,2.35,0.00,0.00,12,0.00,0.00,24.75,Loss
Quals 41 - Shanghai Regional 2025,6433,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,0.00,0.00,5.00,Loss
Quals 41 - Shanghai Regional 2025,10131,3,2.81,0.00,0.00,0.00,5.01,4.03,3.06,2.44,0.00,0.00,2,0.00,0.00,22.35,Win
Quals 41 - Shanghai Regional 2025,6941,3,5.74,0.00,0.00,0.00,10.23,8.24,6.24,4.99,0.00,0.00,2,0.00,0.00,40.44,Win
Quals 41 - Shanghai Regional 2025,5449,3,5.25,0.00,0.00,0.00,9.36,7.53,5.70,4.56,0.00,0.00,12,0.00,0.00,47.40,Win
Quals 42 - Shanghai Regional 2025,6353,3,2.79,0.00,0.00,0.61,10.03,2.43,0.00,0.79,0.00,2.43,2,0.00,0.00,24.08,Loss
Quals 42 - Shanghai Regional 2025,9635,3,4.89,0.00,0.00,1.06,17.54,4.25,0.00,1.38,0.00,4.25,2,0.00,0.00,38.37,Loss
Quals 42 - Shanghai Regional 2025,5516,3,6.11,0.00,0.00,1.33,21.93,5.32,0.00,1.73,0.00,5.32,0,0.00,0.00,44.74,Loss
Quals 42 - Shanghai Regional 2025,10214,3,4.27,0.00,0.00,0.62,10.21,4.08,0.00,0.00,0.00,1.61,2,0.00,0.00,25.79,Win
Quals 42 - Shanghai Regional 2025,8214,3,8.96,0.00,0.00,1.30,21.43,8.57,0.00,0.00,0.00,3.38,2,0.00,0.00,48.64,Win
