Match,Teams,Auto Leave,Auto Coral L4,Auto Coral L3,Auto Coral L2,Auto Coral L1,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Processor Algae,Net Algae,Endgame,Fouls,Adjustments,Total Score,Result
Finals 1 - Duel Down Under 2025,7433,3,10.44,0.00,0.00,0.00,17.81,10.71,2.70,0.63,1.80,0.00,0,-0.63,0.00,46.46,Win
Finals 2 - Duel Down Under 2025,9983,3,4.65,2.02,0.00,0.00,16.67,15.96,5.96,0.00,0.00,4.04,0,-0.71,0.00,51.59,Win
Finals 2 - Duel Down Under 2025,4613,3,4.51,1.96,0.00,0.00,16.16,15.47,5.78,0.00,0.00,3.92,12,-0.69,0.00,62.11,Win
Finals 2 - Duel Down Under 2025,3132,3,4.65,2.02,0.00,0.00,16.67,15.96,5.96,0.00,0.00,4.04,12,-0.71,0.00,63.59,Win
Finals 2 - Duel Down Under 2025,9985,3,8.61,0.00,0.00,0.00,14.70,9.80,3.71,0.00,0.00,0.00,2,0.00,0.00,41.82,Loss
Finals 2 - Duel Down Under 2025,5584,3,15.75,0.00,0.00,0.00,26.88,17.92,6.79,0.00,0.00,0.00,2,0.00,0.00,72.34,Loss
Finals 2 - Duel Down Under 2025,7433,3,10.44,0.00,0.00,0.00,17.81,11.88,4.50,0.00,0.00,0.00,0,0.00,0.00,47.63,Loss
Finals 3 - Duel Down Under 2025,9983,3,2.32,2.02,0.00,0.00,15.05,15.96,4.04,0.71,0.00,4.04,0,0.00,0.00,47.14,Win
Finals 3 - Duel Down Under 2025,4613,3,2.25,1.96,0.00,0.00,14.59,15.47,3.92,0.69,0.00,3.92,12,0.00,0.00,57.80,Win
Finals 3 - Duel Down Under 2025,3132,3,2.32,2.02,0.00,0.00,15.05,15.96,4.04,0.71,0.00,4.04,12,0.00,0.00,59.14,Win
Finals 3 - Duel Down Under 2025,9985,3,8.61,0.00,0.00,0.00,11.07,7.87,0.74,1.49,0.00,0.00,2,-3.49,0.00,31.29,Loss
